customerid,churn_probability,actual_churn,tenure,contract,internetservice,monthlycharges,paymentmethod,risk_tier,intervention
5318-IXUZF,0.8242774486000211,1,2,Month-to-month,Fiber optic,87.15,Bank transfer (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
8111-SLLHI,0.8240845889972571,1,39,Month-to-month,Fiber optic,105.65,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
1641-RQDAY,0.8240113132341678,0,32,Month-to-month,Fiber optic,100.4,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8380-PEFPE,0.8237798471615504,1,1,Month-to-month,Fiber optic,71.65,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2154-KVJFF,0.8237611294196039,1,15,Month-to-month,Fiber optic,79.75,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2774-LVQUS,0.8237172276680942,1,15,Month-to-month,Fiber optic,83.05,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2504-DSHIH,0.8236942274235199,0,23,Month-to-month,Fiber optic,86.8,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8709-KRDVL,0.8236796717997747,0,33,Month-to-month,Fiber optic,100.0,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3951-NJCVI,0.8236547577315975,0,42,Month-to-month,Fiber optic,95.05,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0508-OOLTO,0.8234781674024281,0,2,Month-to-month,Fiber optic,71.65,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
6705-LXORM,0.8234286430946571,0,5,Month-to-month,Fiber optic,70.05,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
7568-PODML,0.823173828511387,1,1,Month-to-month,DSL,45.3,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3001-CBHLQ,0.8230382310432635,1,32,Month-to-month,Fiber optic,104.9,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0455-XFASS,0.8229944780398455,0,3,Month-to-month,Fiber optic,69.55,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2568-OIADY,0.8229917041407053,1,37,Month-to-month,Fiber optic,99.5,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
7908-QCBCA,0.8228979006475169,1,1,Month-to-month,Fiber optic,69.4,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
7384-GHBPI,0.8228424189707518,1,3,Month-to-month,DSL,35.15,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4971-PUYQO,0.8228278143706546,1,27,Month-to-month,Fiber optic,94.55,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0135-NMXAP,0.822580515168906,1,12,Month-to-month,Fiber optic,89.75,Bank transfer (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
7928-VJYAB,0.8225595976086502,0,11,Month-to-month,Fiber optic,90.6,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
6956-SMUCM,0.8224504882921475,1,3,Month-to-month,Fiber optic,99.0,Credit card (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
6379-RXJRQ,0.8223907588859908,1,10,Month-to-month,Fiber optic,70.1,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
9741-YLNTD,0.8222601126457353,0,6,Month-to-month,Fiber optic,87.95,Bank transfer (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
0822-GAVAP,0.8222372370350008,1,2,Month-to-month,DSL,34.7,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
5271-DBYSJ,0.8221008935229694,0,11,Month-to-month,Fiber optic,79.15,Credit card (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
8485-GJCDN,0.8220828977391756,1,5,Month-to-month,Fiber optic,69.05,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8063-RJYNF,0.8218475153842814,1,16,Month-to-month,Fiber optic,94.25,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
9415-DPEWS,0.8216658858002824,1,18,Month-to-month,Fiber optic,88.35,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4585-HETAI,0.8215546798414817,1,4,Month-to-month,Fiber optic,73.75,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
6833-JMZYP,0.8212649491348006,0,15,Month-to-month,Fiber optic,94.0,Credit card (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
2860-RANUS,0.8211899435148989,1,20,Month-to-month,Fiber optic,85.8,Credit card (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
8999-BOHSE,0.8210411485817278,1,11,Month-to-month,Fiber optic,89.7,Bank transfer (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
9647-ERGBE,0.8209386492623454,1,30,Month-to-month,Fiber optic,100.05,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
9190-MFJLN,0.8207973961502765,1,19,Month-to-month,Fiber optic,95.9,Credit card (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
9095-HFAFX,0.8207797375338647,1,5,Month-to-month,Fiber optic,81.0,Credit card (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
8270-RKSAP,0.8207763416945623,0,9,Month-to-month,Fiber optic,70.5,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
5583-SXDAG,0.8207671487600522,1,1,Month-to-month,Fiber optic,70.0,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
6347-DCUIK,0.8207415299826197,1,10,Month-to-month,Fiber optic,74.15,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8132-YPVBX,0.8205449951004928,0,6,Month-to-month,Fiber optic,85.95,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
9399-APLBT,0.8203831066366165,1,1,Month-to-month,Fiber optic,74.7,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2815-CPTUL,0.820345683567425,1,5,Month-to-month,Fiber optic,70.25,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
5569-KGJHX,0.8203070137594427,1,9,Month-to-month,Fiber optic,85.35,Bank transfer (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
3420-ZDBMA,0.8202900369457439,0,5,Month-to-month,Fiber optic,71.45,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
5947-SGKCL,0.8202042116011091,0,15,Month-to-month,Fiber optic,105.35,Bank transfer (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
6242-MBHPK,0.8200910829729307,0,23,Month-to-month,Fiber optic,95.1,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4686-UXDML,0.819780163267742,0,21,Month-to-month,Fiber optic,99.85,Credit card (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
6821-BUXUX,0.8197031100654986,1,13,Month-to-month,Fiber optic,96.65,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2656-FMOKZ,0.8197021512739456,1,15,Month-to-month,Fiber optic,74.45,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2482-CZGBB,0.8196086636448963,1,10,Month-to-month,Fiber optic,70.0,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8224-DWCKX,0.8195327062981178,0,12,Month-to-month,Fiber optic,73.3,Credit card (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
4716-HHKQH,0.8195087854542763,0,20,Month-to-month,Fiber optic,107.05,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
7912-SYRQT,0.819405271005362,1,7,Month-to-month,Fiber optic,75.1,Bank transfer (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
0581-BXBUB,0.8193855568264926,0,4,Month-to-month,Fiber optic,72.75,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2260-USTRB,0.8191824339961111,1,2,Month-to-month,Fiber optic,70.2,Bank transfer (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
9524-EGPJC,0.8190945905019016,1,18,Month-to-month,Fiber optic,90.1,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3346-BRMIS,0.818938563989588,1,18,Month-to-month,DSL,48.35,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0674-DGMAQ,0.8188219546650237,0,32,Month-to-month,Fiber optic,93.5,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
7892-POOKP,0.8187327777200428,1,28,Month-to-month,Fiber optic,104.8,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3143-JQEGI,0.81850709577342,1,13,Month-to-month,Fiber optic,88.35,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
1010-DIAUQ,0.8185015590349405,1,5,Month-to-month,Fiber optic,96.5,Bank transfer (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
1754-GKYPY,0.8180083648175612,0,22,Month-to-month,Fiber optic,89.75,Bank transfer (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
0611-DFXKO,0.8179818775879565,1,20,Month-to-month,Fiber optic,89.0,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2856-HYAPG,0.8176623358167545,1,1,Month-to-month,Fiber optic,68.65,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0148-DCDOS,0.8171799220924539,1,25,Month-to-month,Fiber optic,94.7,Bank transfer (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
9054-FOWNV,0.8171443032202884,0,22,Month-to-month,Fiber optic,88.75,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
5931-FLJJF,0.8170048581803563,1,7,Month-to-month,Fiber optic,70.1,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
9444-JTXHZ,0.8169255738300214,1,1,Month-to-month,Fiber optic,76.2,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
9840-DVNDC,0.8169204799886983,1,6,Month-to-month,Fiber optic,80.5,Credit card (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
9494-MRNYX,0.8169099164660211,0,10,Month-to-month,Fiber optic,75.05,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
5989-PGKJB,0.8166483320217146,0,16,Month-to-month,Fiber optic,86.25,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
1666-JXLKU,0.8166191022872261,0,37,Month-to-month,Fiber optic,100.05,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
7534-BFESC,0.8165912129996433,1,24,Month-to-month,Fiber optic,76.1,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3066-RRJIO,0.8162738894604997,1,1,Month-to-month,Fiber optic,69.95,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
5652-MSDEY,0.8161245673360101,0,10,Month-to-month,Fiber optic,75.75,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0529-ONKER,0.8160446213490973,1,15,Month-to-month,Fiber optic,75.65,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0524-IAVZO,0.8160391629010542,1,30,Month-to-month,Fiber optic,85.0,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3797-FKOGQ,0.8158994253302956,0,11,Month-to-month,Fiber optic,86.2,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2619-WFQWU,0.8158972830940207,1,1,Month-to-month,Fiber optic,70.15,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
9985-MWVIX,0.8158972830940207,1,1,Month-to-month,Fiber optic,70.15,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4009-ALQFH,0.8158897746654002,1,25,Month-to-month,Fiber optic,99.5,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
7932-WPTDS,0.8158251193969149,1,1,Month-to-month,DSL,24.8,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8118-TJAFG,0.8155264642937161,0,9,Month-to-month,Fiber optic,101.5,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3855-ONCAR,0.8153381458731084,0,4,Month-to-month,Fiber optic,78.9,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0727-IWKVK,0.8153170116274521,1,9,Month-to-month,Fiber optic,79.9,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2024-BASKD,0.815304291152617,1,1,Month-to-month,Fiber optic,74.6,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
7153-OANIO,0.8152180819777785,1,1,Month-to-month,Fiber optic,69.95,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4505-EXZHB,0.8151298324250236,1,6,Month-to-month,Fiber optic,74.4,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
1766-GKNMI,0.8151040787302765,0,29,Month-to-month,Fiber optic,84.9,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
9617-INGJY,0.8150477337750152,0,1,Month-to-month,Fiber optic,70.6,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2262-SLNVK,0.8149344282976272,0,1,Month-to-month,Fiber optic,70.1,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
5032-MIYKT,0.8148585339850306,0,1,Month-to-month,Fiber optic,70.7,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
9129-UXERG,0.8147543345780675,0,18,Month-to-month,Fiber optic,103.6,Credit card (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
0968-GSIKN,0.8146691846596655,1,1,Month-to-month,Fiber optic,70.8,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
1689-YQBYY,0.8144602431745275,0,12,Month-to-month,Fiber optic,76.6,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4759-TRPLW,0.814366111555099,1,1,Month-to-month,Fiber optic,70.4,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3365-SAIGS,0.8142912215361013,0,17,Month-to-month,Fiber optic,83.55,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
5692-ICXLW,0.8142321792417512,0,31,Month-to-month,Fiber optic,90.7,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
1915-IOFGU,0.8141763734618155,1,1,Month-to-month,Fiber optic,70.5,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3411-WLRSQ,0.8140572548894766,0,3,Month-to-month,Fiber optic,74.6,Bank transfer (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
5380-WJKOV,0.8140150516840114,1,34,Month-to-month,Fiber optic,106.35,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0027-KWYKW,0.8139141101068104,0,23,Month-to-month,Fiber optic,83.75,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3070-DVEYC,0.8137870505203835,1,7,Month-to-month,Fiber optic,73.75,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
9133-AYJZG,0.8137554404001197,0,23,Month-to-month,Fiber optic,98.7,Credit card (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
4299-SIMNS,0.8136324976489306,0,9,Month-to-month,Fiber optic,81.15,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8042-JVNFH,0.8136250891767969,1,1,Month-to-month,Fiber optic,71.35,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
5054-IEXZT,0.8134960588232487,1,1,Month-to-month,Fiber optic,75.35,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3672-YITQD,0.8132612792111722,1,36,Month-to-month,Fiber optic,84.1,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
6140-QNRQQ,0.8132442954689669,1,1,Month-to-month,Fiber optic,71.55,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
5934-RMPOV,0.81320675243723,0,22,Month-to-month,Fiber optic,84.75,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4583-PARNH,0.8130582340097178,0,16,Month-to-month,Fiber optic,91.55,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
9940-RHLFB,0.8129121961942372,1,1,Month-to-month,Fiber optic,75.3,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3177-LASXD,0.8125575553829042,1,1,Month-to-month,Fiber optic,71.35,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4277-PVRAN,0.8125333359691989,1,8,Month-to-month,Fiber optic,80.1,Bank transfer (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
5043-TRZWM,0.8124347092191639,0,1,Month-to-month,Fiber optic,75.55,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
5879-SESNB,0.8123791768324747,0,11,Month-to-month,Fiber optic,75.25,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0231-LXVAP,0.8122276440659928,1,1,Month-to-month,Fiber optic,75.9,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0491-KAPQG,0.8120907075100396,0,21,Month-to-month,Fiber optic,73.7,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
9961-JBNMK,0.8120628133797384,1,21,Month-to-month,Fiber optic,96.8,Bank transfer (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
7538-GWHML,0.811938475889054,1,2,Month-to-month,Fiber optic,69.65,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
5729-KLZAR,0.8119152073431568,1,4,Month-to-month,Fiber optic,80.85,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
9355-NPPFS,0.8116884241308256,0,26,Month-to-month,Fiber optic,78.8,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
7598-UAASY,0.8115784983053488,1,2,Month-to-month,Fiber optic,76.4,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
1658-TJVOA,0.81153849616957,0,6,Month-to-month,Fiber optic,74.1,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2754-XBHTB,0.8113426478124379,1,9,Month-to-month,Fiber optic,77.65,Bank transfer (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
6907-NZZIJ,0.8112734666685281,1,36,Month-to-month,Fiber optic,99.15,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
6910-HADCM,0.8109004540000444,1,1,Month-to-month,Fiber optic,76.35,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
9367-WXLCH,0.8107502172099539,1,8,Month-to-month,Fiber optic,84.5,Bank transfer (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
5405-ZMYXQ,0.8105537021210106,0,8,Month-to-month,Fiber optic,74.6,Credit card (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
6877-LGWXO,0.8105516625368179,1,18,Month-to-month,Fiber optic,78.55,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
6496-JDSSB,0.8104809433233781,0,8,Month-to-month,Fiber optic,80.0,Bank transfer (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
3644-QXEHN,0.8099207482416562,0,13,Month-to-month,Fiber optic,97.0,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3211-AAPKX,0.8097357286817283,0,20,Month-to-month,Fiber optic,98.55,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2408-WITXK,0.8097162574972497,1,10,Month-to-month,DSL,34.7,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8854-CCVSQ,0.8096524798571251,1,18,Month-to-month,Fiber optic,80.65,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
9692-TUSXH,0.8096308537347396,1,18,Month-to-month,Fiber optic,96.05,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0023-HGHWL,0.8094821563636753,1,1,Month-to-month,DSL,25.1,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
5442-BHQNG,0.8093704293719375,0,2,Month-to-month,Fiber optic,70.35,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0447-RXSGD,0.8093549011462318,0,24,Month-to-month,Fiber optic,99.65,Bank transfer (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
1768-ZAIFU,0.8092885953658625,1,1,Month-to-month,DSL,25.2,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
6993-OHLXR,0.8092748496426918,1,2,Month-to-month,Fiber optic,68.95,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
7714-YXSMB,0.8090882326740835,0,26,Month-to-month,Fiber optic,100.5,Bank transfer (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
4439-JMPMT,0.8088079434385156,1,5,Month-to-month,Fiber optic,85.75,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
1989-PRJHP,0.8088006458039473,1,27,Month-to-month,Fiber optic,75.5,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0388-EOPEX,0.8087757873655269,1,2,Month-to-month,Fiber optic,74.4,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2080-CAZNM,0.8086983554278961,0,41,Month-to-month,Fiber optic,104.4,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
7142-HVGBG,0.8085413011146046,1,43,Month-to-month,Fiber optic,103.0,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
7278-CKDNC,0.8084346973841536,0,24,Month-to-month,Fiber optic,80.5,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8433-WXGNA,0.8083396321319158,1,2,Month-to-month,Fiber optic,75.7,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0848-ZGQIJ,0.8082669645135355,0,16,Month-to-month,Fiber optic,94.65,Bank transfer (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
4412-YLTKF,0.8081692544014626,1,27,Month-to-month,Fiber optic,78.05,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8621-MNIHH,0.8081045000732688,1,34,Month-to-month,Fiber optic,94.25,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0315-LVCRK,0.8076924968343244,0,11,Month-to-month,Fiber optic,84.8,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
5520-FVEWJ,0.8075555887077813,1,12,Month-to-month,Fiber optic,84.5,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
5673-FSSMF,0.8075228683249519,1,1,Month-to-month,DSL,60.15,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8182-BJDSI,0.8074177879390003,1,28,Month-to-month,Fiber optic,89.95,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
6645-MXQJT,0.8073687898738858,0,2,Month-to-month,Fiber optic,97.1,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8844-TONUD,0.8073570330020344,1,13,Month-to-month,Fiber optic,96.65,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4647-MUZON,0.8071308951578503,0,18,Month-to-month,Fiber optic,95.95,Credit card (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
4983-CCWMC,0.807082554488507,0,3,Month-to-month,Fiber optic,69.6,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
6032-KRXXO,0.8070216310825412,1,30,Month-to-month,Fiber optic,90.25,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4029-HPFVY,0.8069470735524705,0,3,Month-to-month,Fiber optic,70.3,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2575-GFSOE,0.8069337049240219,1,7,Month-to-month,Fiber optic,69.0,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
7326-RIGQZ,0.8068437361058179,0,6,Month-to-month,Fiber optic,69.8,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8937-RDTHP,0.8068377166073262,1,1,Month-to-month,Fiber optic,84.6,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2800-VEQXM,0.8068247224225032,0,3,Month-to-month,Fiber optic,74.75,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4059-IIEBK,0.8067974073415372,0,7,Month-to-month,Fiber optic,78.55,Bank transfer (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
9947-OTFQU,0.8066974744127982,1,15,Month-to-month,Fiber optic,74.4,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2685-SREOM,0.8065776215880056,1,25,Month-to-month,Fiber optic,89.1,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
5712-PTIWW,0.8064691536906184,1,2,Month-to-month,Fiber optic,79.85,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3496-LFSZU,0.8063788120253674,0,4,Month-to-month,Fiber optic,70.5,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3877-JRJIP,0.8063130590598976,1,1,Month-to-month,DSL,59.85,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3597-MVHJT,0.8059887912983226,0,27,Month-to-month,Fiber optic,95.6,Bank transfer (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
5599-HVLTW,0.8059305955086998,0,14,Month-to-month,Fiber optic,80.35,Bank transfer (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
1751-NCDLI,0.8056205111721446,0,46,Month-to-month,Fiber optic,98.85,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4919-IKATY,0.8055206317057036,1,5,Month-to-month,Fiber optic,84.5,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
1636-NTNCO,0.8053753338403562,0,4,Month-to-month,DSL,50.95,Credit card (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
6692-UDPJC,0.8053581325990814,1,14,Month-to-month,Fiber optic,91.65,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3677-IYRBF,0.8052945683675512,1,2,Month-to-month,DSL,30.4,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
9658-WYUFB,0.8052073932458756,1,17,Month-to-month,Fiber optic,94.4,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
5908-QMGOE,0.8051831711167483,1,15,Month-to-month,Fiber optic,74.2,Credit card (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
4636-QRJKY,0.8051030588108058,1,6,Month-to-month,Fiber optic,80.5,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2868-SNELZ,0.8050344918003519,1,2,Month-to-month,Fiber optic,80.6,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0654-HMSHN,0.8048889268126002,1,21,Month-to-month,Fiber optic,104.4,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0196-JTUQI,0.8048634961139174,0,9,Month-to-month,Fiber optic,75.2,Credit card (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
8374-XGEJJ,0.8048375962131186,1,43,Month-to-month,Fiber optic,101.0,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0921-OHLVP,0.8045640548979347,0,22,Month-to-month,Fiber optic,83.05,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2959-FENLU,0.8044117032144102,0,9,Month-to-month,Fiber optic,85.3,Credit card (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
